ID;OWNER_AGE;OWNER_SEX;NEIGHBORHOOD;BREED;BIRTHYEAR;SEX;COLOR
80513;51-60;w;3;Parson Jack Russell Terrier;2011;w;tricolor
80516;51-60;m;3;Malteser;2005;w;weiss/braun
80525;71-80;m;7;Zwergpudel;2011;m;schwarz
80530;81-90;w;2;Pudel;2005;w;schwarz
80536;71-80;m;2;Schweizer Niederlaufhund;2007;m;weiss/orange
80538;61-70;w;2;English Cocker Spaniel;2011;m;schwarz/weiss
80545;51-60;m;9;Border Terrier;2010;w;red grizzle
80545;51-60;m;9;Border Terrier;2006;w;schwarz/braun
80552;51-60;w;10;Windspiel;2004;w;beige/weiss
80553;81-90;w;2;Jack Russel Terrier;2002;m;weiss/schwarz
80556;81-90;m;3;Mops;2009;m;gestromt
80571;51-60;m;3;Mischling klein;2013;w;schwarz/braun
80575;81-90;w;4;Mischling klein;2008;w;weiss/beige
80584;71-80;w;8;Labrador Retriever;2009;m;schwarz
80602;71-80;w;12;Bolonka Zwetna;2011;m;weiss
80604;71-80;m;7;Labrador Retriever;2004;w;schwarz
80604;71-80;m;7;Labrador Retriever;2009;w;braun
80604;71-80;m;7;Labrador Retriever;2012;w;schwarz
80607;81-90;w;10;West Highland White Terrier;2004;w;weiss
80608;81-90;w;2;Deutscher Schäfer;2004;w;schwarz/gelb
80618;71-80;w;8;Irish Terrier;2005;w;rot
80622;61-70;m;6;Parson Russell Terrier;2002;w;weiss/braun
80628;61-70;m;9;Labrador Retriever;2016;w;schwarz
80631;71-80;w;11;Tervueren;2005;w;braun/schwarz
80637;81-90;m;12;Mischling gross;2009;w;schwarz
80645;81-90;w;2;Berner Sennenhund;2013;w;tricolor
80645;81-90;w;2;Berner Sennenhund;2010;w;schwarz/braun/weiss
80647;61-70;m;11;Golden Retriever;2010;m;blondfarben
80648;41-50;m;11;Belgischer Schäfer;2015;m;schwarz
80653;61-70;m;7;Groenendael;2009;w;schwarz
80656;71-80;m;10;Pointer;2008;w;weiss
80659;51-60;w;3;English Springer Spaniel;2012;m;schwarz/weiss
80661;61-70;w;7;Chihuahua;2014;w;schwarz/beige
80663;81-90;w;7;Malteser;2003;m;weiss
80684;71-80;w;2;Bergamasker;2009;m;tricolor
80698;41-50;w;11;Toypudel;2016;m;rot
80698;41-50;w;11;Toypudel;2010;m;weiss
80700;51-60;w;2;Mischling klein;2007;w;braun/weiss
